Booking details;Détails de la réservation
Booking details:;Détails de la réservation :
Booking subject:;Sujet de la réservation :
Comment:;Commentaire :
Date and time;Date et heure
Date and time:;Date et heure :
Email address:;Adresse email :
Enter the location name and contact email:;Saisissez le nom et l'email du lieu :
First name / Last name;Nom / Prénom
Here are his personal information:;Voici ses informations personnelles :
Name:;Nom :
Nom du lieu :;Nom du lieu :
People number:;Nombre de personnes :
Phone number:;Numéro de téléphone :
Please fill out the following fields: ;Veuillez remplir les champs suivants :<br />
Please fill out the following fields:<br />;Veuillez renseigner correctement les champs suivants : <br />
Please choose a store;Veuillez saisir le nom du lieu
Thank you for your request. We'll answer you as soon as possible.;Nous vous remercions pour votre message. Nous vous répondrons dans les plus brefs délais.
The booking information;Le motif de la réservation
The booking informations;Informations de réservation
The date and time of the booking;La date et heure de réservation
The number of people;Le nombre de personnes
You have received a message for the booking of;Vous avez reçu un message de réservation de
Your phone number or email address;Votre téléphone ou adresse email
