"Add a Website","Ajouter un site Web"
"Address:","Adresse:"
"An error occurred while deleting the event","Une erreur est survenue lors de la suppression de l'événement"
"An error occurred while loading this event","Une erreur est survenue lors du chargement de l'événement"
"Beginning date:","Date de début :"
"Beginning time:","Heure de début:"
"Buy Tickets","Achat de tickets"
"Calendar successfully deleted","Agenda supprimé avec succès"
"Calendar's URL","URL de votre agenda"
"Calendar's title","Titre de votre agenda"
"Change picture","Modifiez l'illustration"
"Create a new event","Créer un nouvel événement"
"Custom Calendar","Calendrier personnalisée"
"Custom Page","Custom"
"Delete this calendar?","Êtes-vous sûr de vouloir supprimer cet agenda ?"
"Delete this event?","Êtes-vous sûr de vouloir supprimer cet événement ?"
"Ending date:","Date de fin :"
"Enter your calendar's title","Entrez le titre de votre agenda"
"Entrance:","Entrée:"
"Entrance: %s","Entrée: %s"
"Event","Evénement"
"Event successfully deleted","Evènement supprimé avec succès"
"Event successfully saved","L'événement a été sauvegardé avec succès"
"Event title:","Nom de l'événement :"
"Illustration","Illustration"
"Illustration:","Illustration:"
"Max size: 2000x2000px - allowed formats: jpg & png","Taille maximum : 2000x2000px - formats autorisés : jpg et png"
"Modify the event","Modifier l'événement"
"RSVP","RSVP"
"RSVP URL:","Url RSVP (répondez, s'il vous plaît) :"
"Subtitle:","Sous-titre:"
"Ticket Shop URL:","URL de votre Ticket Shop :"
"Your Facebook page ID","Identifiant de votre page Facebook"
"Your Facebook page ID <span class=""required-entry"">*</span> :","Identifiant de votre page Facebook <span class=""required-entry"">*</span> :"
"Your calendar is empty","Il n'y a pas d'événements dans votre agenda"
"iCal","iCal"
"to","à"
