"<strong>%s</strong> must be a numerical value<br />";"<strong>%s</strong> doit être une valeur numerique<br />"
"<strong>%s</strong> must be a valid date (e.g. dd/mm/yyyy)<br />";"<strong>%s</strong> doit être une date valide (e.g. dd/mm/yyyy)<br />"
"<strong>%s</strong> must be a valid date<br />";"<strong>%s</strong> doit être une date<br />"
"<strong>%s</strong> must be a valid email address<br />";"<strong>%s</strong> doit être une adresse email valide<br />"
"<strong>%s</strong> must be filled<br />";"<strong>%s</strong> doit être renseigné<br />"
"Add a field";"Ajouter un champ"
"Add a section";"Ajouter une section"
"Add an option";"Ajouter une option"
"An error occurred while saving. A field can't be identified.";"Une erreur est survenue lors de la sauvegarde. Un champ n'a pas pu être identifié."
"Are you sure you want to remove this field?";"Etes-vous sûr de vouloir supprimer ce champ ?"
"Are you sure you want to remove this section?";"Etes-vous sûr de vouloir supprimer cette section ?"
"Checkbox";"Cases à cocher"
"Choose a field type:";"Choisissez un type de champ :"
"Create a new field";"Créer un nouveau champ"
"Date/Hour";"Date/Heure"
"Drop down";"Liste déroulante"
"Edit field %s";"Editer le champ %s"
"Field name";"Nom du champ"
"Field name:";"Nom du champ :"
"Form data will be sent to this email. Until you fill out this field, your form won't be displayed on client side.";"Les données du formulaires seront envoyées à cet email. Tant que vous ne remplissez pas ce champ, votre formulaire ne sera pas affiché dans le mobile."
"Geolocation";"Géolocalisation"
"Hello,";"Bonjour,"
"Hello;";"Bonjour;"
"Import a picture";"Importer image"
"Import from Library";"Importer depuis biblioteque"
"Manage fields";"Gérer les champs"
"Manage options:";"Gérer les options :"
"Multiline text";"Texte multi-ligne"
"Option";"Option"
"Radio";"Bouton choix"
"Recipient email";"Destinataire E-mail"
"Recipient email:";"Email du destinataire :"
"Take a picture";"Prendre une photo"
"The form has been sent successfully";"Le formulaire a été envoyé avec succès"
"You have to choose a field type.";"Vous devez choisir un type de champ."
"Your app's form";"Formulaire de votre application"
"Your form has been filled out, here are the answers:";"Votre formulaire a été rempli, voici les réponses :"
