"A new contact form has been sent for the following offer:";"Un nouveau formulaire de contact à été envoyé:"
"Add a position";"Créer une nouvelle offre"
"Add category";"Ajouter une catégorie"
"Add company";"Ajouter une société"
"Add place";"Ajouter un emploi"
"Address";"Addresse"
"Administrators";"Administrateurs"
"All fields are required !";"Tout les champs sont requis !"
"Alternate name for 'Company'";"Nom alternatif pour 'Entreprise'"
"Alternate name for 'Place'";"Nom alternatif pour 'Emploi'"
"Categories";"Catégories"
"Category";"Catégorie"
"Category enabled";"Catégorie activée"
"City";"Ville"
"Clear";"Effacer"
"Close";"Fermer"
"Companies";"Sociétés"
"Company";"Société"
"Company enabled";"Société activée"
"Company saved.";"Société enregistrée."
"Contact";"Contacter"
"Contact e-mail";"E-mail de contact"
"Contact form";"Formulaire de contact"
"Contract type";"Type de contrat"
"Create a new Category";"Ajouter une catégorie"
"Create a new company";"Ajouter une société"
"Create a new place";"Ajouter un emploi"
"Create a new position";"Créer une nouvelle offre"
"Create position";"Créer une offre"
"Description";"Description"
"Display Search";"Afficher la recherche"
"Display contact";"Affichage du contact"
"Display income";"Afficher la rémunération"
"Display place icon";"Afficher l'icône de l'offre"
"Distance";"Distance"
"E-Mail";"Email"
"E-mail";"E-mail"
"Email";"E-mail"
"Email & Contact form";"E-mail & Formulaire de contact"
"Email successfully sent.";"Email envoyé avec succès"
"Employee count";"Nombre d'employés"
"For more options use the editor";"Pour plus d'options, utilisez l'éditeur"
"Form error";"Erreur"
"Full name";"Nom / Prénom"
"General";"Général"
"Header";"Entête"
"Hidden";"Masqué"
"Icon";"Icône"
"Import a header";"Importer un entête"
"Import a header image";"Ajouter une illustration d'entête"
"Import a logo";"Importer un logo"
"Import an icon";"Importer une icône"
"Import an icon image";"Importer une icône"
"Income from:";"Rémunération entre:"
"Input your keywords ...";"Saisissez vos mot clés ..."
"Is active";"Publiée ?"
"Job";"Emploi"
"Keywords";"Mot clés"
"Keywords, coma separated";"Mot clés, séparés par une virgule"
"Locality";"Lieu"
"Logo";"Logo"
"Manage";"Gérer"
"Manage company";"Editer la société"
"Manage place";"Editer l'offre"
"Message";"Message"
"Missing category_id";"Paramètre manquant category_id"
"My companies";"Mes sociétés"
"Name";"Nom"
"New contact for: ";"Nouveau contact pour:"
"New contact for: %s";"Nouveau contact pour: %s"
"None";"Aucun"
"Place";"Emploi"
"Place enabled";"Emploi activé"
"Place saved.";"Emploi enregistrée"
"Place successfully deleted.";"Emploi supprimé."
"Places";"Emplois"
"Positions";"Offres"
"Publish";"Publier"
"Save";"Sauvegarder"
"Search";"Recherche"
"Search...";"Recherche..."
"Select a city ...";"Saisissez une ville ..."
"Submit";"Envoyer"
"Success.";"Succès"
"Thank you";"Merci"
"The category you are trying to edit doesn't exists.";"La catégorie que vous tentez d'éditer n'existe pas."
"The company you are trying to edit doesn't exists.";"La société que vous tentez d'éditer n'existe pas."
"The place you are trying to edit doesn't exists.";"L'emploi que vous tentez d'éditer n'existe pas."
"This place is inactive.";"Cette annonce est désactivée"
"Use global configuration";"Utiliser le paramètre global"
"Views";"Vues"
"Website";"Site web"
"You are about to remove this Category !\n Are you sure ?";"Vous êtes sur le point de supprimer cette catégorie ! Êtes vous sûr ?"
"You are about to remove this Company and all the associated Places !\n Are you sure ?";"Vous êtes sur le point de supprimer cette société et tout les emplois associés ! Êtes vous sûr ?"
"You are about to remove this Place !\n Are you sure ?";"Vous êtes sur le point de supprimer cet emploi ! Êtes vous sûr ?"
"You are not allowed to create a place for this company";"Vous n'êtes pas autorisé à créer un emploi pour cette société"
"to:";"pour:"
