"About";"Environ"
"Address is mandatory.";"L'adresse est obligatoire"
"Destination address";"Adresse de destination"
"Distance unit";"Unité de distance"
"From:";"Depuis :"
"Hide itinerary steps";"Cacher les étapes de l'itinéraire"
"Maps configuration";"Configuration"
"Maps navigation";"Navigation"
"More Information";"Plus d'informations"
"See itinerary steps";"Voir les étapes de l'itinéraire"
"Sorry, the route cannot be calculated.";"Désolé, le chemin ne peut être calculé."
"To:";"Vers :"
"Unit distance";"Unité distance"
