"Add a link";"Ajouter un lien"
"An error occurred while saving your picto. Please try againg later.";"Une erreur est survenue lors de l'enregistrement de votre picto. Merci de réessayer ultérieurement."
"Are you sure you want to delete this link?";"Etes-vous sûr de vouloir supprimer ce lien ?"
"Are you sure you want to delete this picture?";"Etes-vous sûr de vouloir supprimer cette image ?"
"Enter your Magento URL";"Entrez votre URL Magento"
"Enter your Prestashop URL";"Entrez votre URL Prestashop"
"Enter your Shopify URL";"Entrez votre URL Shopify"
"Enter your Volusion URL";"Entrez votre URL Volusion"
"Enter your WooCommerce URL";"Entrez votre WooCommerce URL"
"Link";"Lien"
"Link has been successfully deleted";"Le lien a été supprimé avec succès"
"Link has been successfully saved";"Le lien a été sauvegardé avec succès"
"Link:";"Lien :"
"Magento";"Magento"
"Picto";"Pictogramme"
"Prestashop";"Prestashop"
"Shopify";"Shopify"
"The image has been successfully deleted";"L'image a été supprimée avec succès"
"The image has been successfully saved";"L'image a été sauvegardée avec succès"
"Volusion";"Volusion"
"WooCommerce";"WooCommerce"
"Your links";"Vos liens"
